bbcwbx.bbcode,"{""message"": ""bbCode""}"
bbcwbx.bbcode.clp,"{""message"": ""Appunti""}"
bbcwbx.bbcode.clp.quote,"{""message"": ""Citazione""}"
bbcwbx.bbcode.clp.code,"{""message"": ""Codice""}"
bbcwbx.bbcode.clp.list,"{""message"": ""Elenco""}"
bbcwbx.bbcode.clp.ordlist,"{""message"": ""Elenco numerato""}"
bbcwbx.bbcode.clp.alphalist,"{""message"": ""Elenco alfabetico""}"
bbcwbx.bbcode.clp.spoiler,"{""message"": ""Spoiler""}"
bbcwbx.bbcode.clp.image,"{""message"": ""Immagine""}"
bbcwbx.bbcode.clp.mkurlsel,"{""message"": ""Trasforma selezione in URL""}"
bbcwbx.bbcode.clp.url,"{""message"": ""URL""}"
bbcwbx.bbcode.clp.urlname,"{""message"": ""URL con nome""}"
bbcwbx.bbcode.wbx,"{""message"": ""WebEx""}"
bbcwbx.bbcode.wbx.quote,"{""message"": ""Citazione""}"
bbcwbx.bbcode.wbx.code,"{""message"": ""Codice""}"
bbcwbx.bbcode.wbx.list,"{""message"": ""Elenco""}"
bbcwbx.bbcode.wbx.ordlist,"{""message"": ""Elenco numerato""}"
bbcwbx.bbcode.wbx.alphalist,"{""message"": ""Elenco alfabetico""}"
bbcwbx.bbcode.wbx.spoiler,"{""message"": ""Spoiler""}"
bbcwbx.bbcode.wbx.fntcol,"{""message"": ""Colore""}"
bbcwbx.bbcode.wbx.fntcol.white,"{""message"": ""White""}"
bbcwbx.bbcode.wbx.fntcol.black,"{""message"": ""Black""}"
bbcwbx.bbcode.wbx.fntcol.dk_gray,"{""message"": ""Dark gray""}"
bbcwbx.bbcode.wbx.fntcol.gray,"{""message"": ""Gray""}"
bbcwbx.bbcode.wbx.fntcol.lt_gray,"{""message"": ""Light gray""}"
bbcwbx.bbcode.wbx.fntcol.olive,"{""message"": ""Olive""}"
bbcwbx.bbcode.wbx.fntcol.yellow,"{""message"": ""Yellow""}"
bbcwbx.bbcode.wbx.fntcol.canary,"{""message"": ""Canary""}"
bbcwbx.bbcode.wbx.fntcol.maroon,"{""message"": ""Maroon""}"
bbcwbx.bbcode.wbx.fntcol.red,"{""message"": ""Red""}"
bbcwbx.bbcode.wbx.fntcol.pink,"{""message"": ""Pink""}"
bbcwbx.bbcode.wbx.fntcol.navy,"{""message"": ""Navy""}"
bbcwbx.bbcode.wbx.fntcol.blue,"{""message"": ""Blue""}"
bbcwbx.bbcode.wbx.fntcol.lt_blue,"{""message"": ""Light Blue""}"
bbcwbx.bbcode.wbx.fntcol.green,"{""message"": ""Green""}"
bbcwbx.bbcode.wbx.fntcol.lime_green,"{""message"": ""Lime Green""}"
bbcwbx.bbcode.wbx.fntcol.mint_green,"{""message"": ""Mint Green""}"
bbcwbx.bbcode.wbx.fntcol.indigo,"{""message"": ""Indigo""}"
bbcwbx.bbcode.wbx.fntcol.purple,"{""message"": ""Purple""}"
bbcwbx.bbcode.wbx.fntcol.fuchsia,"{""message"": ""Fuchsia""}"
bbcwbx.bbcode.wbx.fntcol.usrEnt,"{""message"": ""Enter Code in Hex""}"
bbcwbx.bbcode.wbx.fntsz,"{""message"": ""Grandezza testo""}"
bbcwbx.bbcode.wbx.urlname,"{""message"": ""URL con nome""}"
bbcwbx.bbcode.wbx.urlwiz,"{""message"": ""URL Wizard""}"
bbcwbx.bbcode.vbl,"{""message"": ""VBulletin3""}"
bbcwbx.bbcode.vbl.thd,"{""message"": ""Thread""}"
bbcwbx.bbcode.vbl.pst,"{""message"": ""Post""}"
bbcwbx.bbcode.vbl.alnlf,"{""message"": ""Allinea a destra""}"
bbcwbx.bbcode.vbl.alnrt,"{""message"": ""Allinea a sinistra""}"
bbcwbx.bbcode.vbl.ctr,"{""message"": ""Allinea al centro""}"
bbcwbx.bbcode.vbl.indnt,"{""message"": ""Rientra""}"
bbcwbx.bbcode.vbl.hilt,"{""message"": ""Evidenzia""}"
bbcwbx.bbcode.bold,"{""message"": ""Grassetto""}"
bbcwbx.bbcode.ital,"{""message"": ""Corsivo""}"
bbcwbx.bbcode.undrln,"{""message"": ""Sottolineato""}"
bbcwbx.bbcode.img,"{""message"": ""Immagine""}"
bbcwbx.bbcode.url,"{""message"": ""URL""}"
bbcwbx.html,"{""message"": ""HTML""}"
bbcwbx.html.clp,"{""message"": ""Appunti""}"
bbcwbx.html.clp.quote,"{""message"": ""Citazione""}"
bbcwbx.html.clp.code,"{""message"": ""Codice""}"
bbcwbx.html.clp.list,"{""message"": ""Elenco""}"
bbcwbx.html.clp.ordlist,"{""message"": ""Elenco numerato""}"
bbcwbx.html.clp.alphalist,"{""message"": ""Elenco alfabetico""}"
bbcwbx.html.clp.image,"{""message"": ""Immagine""}"
bbcwbx.html.clp.mkurlsel,"{""message"": ""Trasforma selezione in URL""}"
bbcwbx.html.clp.url,"{""message"": ""URL""}"
bbcwbx.html.clp.urlname,"{""message"": ""URL con nome""}"
bbcwbx.html.wbx,"{""message"": ""WebEx""}"
bbcwbx.html.wbx.quote,"{""message"": ""Citazione""}"
bbcwbx.html.wbx.code,"{""message"": ""Codice""}"
bbcwbx.html.wbx.list,"{""message"": ""Elenco""}"
bbcwbx.html.wbx.ordlist,"{""message"": ""Elenco numerato""}"
bbcwbx.html.wbx.alphalist,"{""message"": ""Elenco alfabetico""}"
bbcwbx.html.wbx.urlname,"{""message"": ""URL con nome""}"
bbcwbx.html.wbx.urlwiz,"{""message"": ""URL Wizard""}"
bbcwbx.html.bold,"{""message"": ""Grassetto""}"
bbcwbx.html.ital,"{""message"": ""Corsivo""}"
bbcwbx.html.undrln,"{""message"": ""Sottolineato""}"
bbcwbx.html.strk,"{""message"": ""Barrato""}"
bbcwbx.html.img,"{""message"": ""Immagine""}"
bbcwbx.html.url,"{""message"": ""URL""}"
bbcwbx.xhtml,"{""message"": ""XHTML""}"
bbcwbx.xhtml.clp,"{""message"": ""Appunti""}"
bbcwbx.xhtml.clp.quote,"{""message"": ""Citazione""}"
bbcwbx.xhtml.clp.code,"{""message"": ""Codice""}"
bbcwbx.xhtml.clp.list,"{""message"": ""Elenco""}"
bbcwbx.xhtml.clp.ordlist,"{""message"": ""Elenco numerato""}"
bbcwbx.xhtml.clp.alphalist,"{""message"": ""Elenco alfabetico""}"
bbcwbx.xhtml.img,"{""message"": ""Immagine""}"
bbcwbx.xhtml.clp.mkurlsel,"{""message"": ""Trasforma selezione in URL""}"
bbcwbx.xhtml.clp.url,"{""message"": ""URL""}"
bbcwbx.xhtml.clp.urlname,"{""message"": ""URL con nome""}"
bbcwbx.xhtml.wbx,"{""message"": ""WebEx""}"
bbcwbx.xhtml.wbx.quote,"{""message"": ""Citazione""}"
bbcwbx.xhtml.wbx.code,"{""message"": ""Codice""}"
bbcwbx.xhtml.wbx.list,"{""message"": ""Elenco""}"
bbcwbx.xhtml.wbx.ordlist,"{""message"": ""Elenco numerato""}"
bbcwbx.xhtml.wbx.alphalist,"{""message"": ""Elenco alfabetico""}"
bbcwbx.xhtml.wbx.urlname,"{""message"": ""URL con nome""}"
bbcwbx.xhtml.wbx.urlwiz,"{""message"": ""URL Wizard""}"
bbcwbx.xhtml.bold,"{""message"": ""Grassetto""}"
bbcwbx.xhtml.ital,"{""message"": ""Corsivo""}"
bbcwbx.xhtml.undrln,"{""message"": ""Sottolineato""}"
bbcwbx.xhtml.strk,"{""message"": ""Barrato""}"
bbcwbx.xhtml.image,"{""message"": ""Immagine""}"
bbcwbx.xhtml.url,"{""message"": ""URL""}"
bbcwbx.custom,"{""message"": ""Tag personalizzati""}"
bbcwbx.mkdn,"{""message"": ""Markdown""}"
bbcwbx.mkdn.clp,"{""message"": ""Appunti""}"
bbcwbx.mkdn.clp.quote,"{""message"": ""Citazione""}"
bbcwbx.mkdn.clp.code,"{""message"": ""Codice""}"
bbcwbx.mkdn.clp.list,"{""message"": ""Elenco""}"
bbcwbx.mkdn.clp.ordlist,"{""message"": ""Elenco numerato""}"
bbcwbx.mkdn.clp.mkurlsel,"{""message"": ""Trasforma selezione in URL""}"
bbcwbx.mkdn.clp.mkimgsel,"{""message"": ""Trasforma selezione in immagine""}"
bbcwbx.mkdn.clp.urlname,"{""message"": ""URL con nome""}"
bbcwbx.mkdn.wbx,"{""message"": ""WebEx""}"
bbcwbx.mkdn.wbx.quote,"{""message"": ""Citazione""}"
bbcwbx.mkdn.wbx.code,"{""message"": ""Codice""}"
bbcwbx.mkdn.wbx.list,"{""message"": ""Elenco""}"
bbcwbx.mkdn.wbx.ordlist,"{""message"": ""Elenco numerato""}"
bbcwbx.mkdn.wbx.urlname,"{""message"": ""URL con nome""}"
bbcwbx.mkdn.wbx.urlwiz,"{""message"": ""URL Wizard""}"
bbcwbx.mkdn.bold,"{""message"": ""Grassetto""}"
bbcwbx.mkdn.ital,"{""message"": ""Corsivo""}"
bbcwbx.mkdn.strk,"{""message"": ""Barrato""}"
INS_AUTHOR,"{""message"": ""Inserire l'autore della citazione:""}"
INS_LINKNAME,"{""message"": ""Inserire il nome da assegnare al collegamento:""}"
INS_FONTSIZE,"{""message"": ""Inserire la dimensione del testo:""}"
INS_FONTCOLOR,"{""message"": ""Inserire il colore da utilizzare:""}"
URLCOMPOSTO_STEP1,"{""message"": ""Inserire il nome da assegnare al collegamento:""}"
URLCOMPOSTO_STEP2,"{""message"": ""Inserire l'URL da associare al collegamento:""}"
INS_THREADNUM,"{""message"": ""Inserire il numero del thread:""}"
INS_POSTNUM,"{""message"": ""Inserire il numero del post:""}"
MENU_NO_CUSTOM_TAGS ,"{""message"": ""Nessun tag disponibile""}"
MENU_DISABLE ,"{""message"": ""Disattiva questo menu""}"
MENU_SETTINGS ,"{""message"": ""Preferenze bbCodeWebex…""}"
DELETE_CUSTOMTAG,"{""message"": ""Rimuovere l'elemento selezionato?""}"
WINDOWTITLE_EDITCUSTOMTAG ,"{""message"": ""Modifica tag personalizzato""}"
WINDOWTITLE_NEWCUSTOMTAG ,"{""message"": ""Nuovo tag personalizzato""}"
ALERT_REORDER_TITLE ,"{""message"": ""Riordina tag personalizzati""}"
ALERT_REORDER_TEXT ,"{""message"": ""I tag personalizzati verranno organizzati in ordine alfabetico. Non è possibile annullare questa operazione, se non ripristinando un backup precedente. Proseguire?""}"
WINDOWTITLE_EXPORT ,"{""message"": ""Scelta file esportazione""}"
WINDOWTITLE_IMPORT ,"{""message"": ""Scelta file importazione""}"
ALERT_IMPORT_TITLE ,"{""message"": ""Importazione impostazioni""}"
