bbcwbx.bbcode,"{""message"": ""bbCode""}"
bbcwbx.bbcode.clp,"{""message"": ""クリップボード""}"
bbcwbx.bbcode.clp.quote,"{""message"": ""引用""}"
bbcwbx.bbcode.clp.code,"{""message"": ""整形済みテキスト""}"
bbcwbx.bbcode.clp.list,"{""message"": ""リスト""}"
bbcwbx.bbcode.clp.ordlist,"{""message"": ""リスト(番号付き)""}"
bbcwbx.bbcode.clp.alphalist,"{""message"": ""リスト(アルファベット付き)""}"
bbcwbx.bbcode.clp.spoiler,"{""message"": ""Spoiler""}"
bbcwbx.bbcode.clp.image,"{""message"": ""画像""}"
bbcwbx.bbcode.clp.mkurlsel,"{""message"": ""選択した部分のリンクの作成""}"
bbcwbx.bbcode.clp.url,"{""message"": ""リンクの作成""}"
bbcwbx.bbcode.clp.urlname,"{""message"": ""リンクの作成(名前付き)""}"
bbcwbx.bbcode.wbx,"{""message"": ""WebEx""}"
bbcwbx.bbcode.wbx.quote,"{""message"": ""引用""}"
bbcwbx.bbcode.wbx.code,"{""message"": ""整形済みテキスト""}"
bbcwbx.bbcode.wbx.list,"{""message"": ""リスト""}"
bbcwbx.bbcode.wbx.ordlist,"{""message"": ""リスト(番号付き)""}"
bbcwbx.bbcode.wbx.alphalist,"{""message"": ""リスト(アルファベット付き)""}"
bbcwbx.bbcode.wbx.spoiler,"{""message"": ""Spoiler""}"
bbcwbx.bbcode.wbx.fntcol,"{""message"": ""文字の色""}"
bbcwbx.bbcode.wbx.fntcol.white,"{""message"": ""White""}"
bbcwbx.bbcode.wbx.fntcol.black,"{""message"": ""Black""}"
bbcwbx.bbcode.wbx.fntcol.dk_gray,"{""message"": ""Dark gray""}"
bbcwbx.bbcode.wbx.fntcol.gray,"{""message"": ""Gray""}"
bbcwbx.bbcode.wbx.fntcol.lt_gray,"{""message"": ""Light gray""}"
bbcwbx.bbcode.wbx.fntcol.olive,"{""message"": ""Olive""}"
bbcwbx.bbcode.wbx.fntcol.yellow,"{""message"": ""Yellow""}"
bbcwbx.bbcode.wbx.fntcol.canary,"{""message"": ""Canary""}"
bbcwbx.bbcode.wbx.fntcol.maroon,"{""message"": ""Maroon""}"
bbcwbx.bbcode.wbx.fntcol.red,"{""message"": ""Red""}"
bbcwbx.bbcode.wbx.fntcol.pink,"{""message"": ""Pink""}"
bbcwbx.bbcode.wbx.fntcol.navy,"{""message"": ""Navy""}"
bbcwbx.bbcode.wbx.fntcol.blue,"{""message"": ""Blue""}"
bbcwbx.bbcode.wbx.fntcol.lt_blue,"{""message"": ""Light Blue""}"
bbcwbx.bbcode.wbx.fntcol.green,"{""message"": ""Green""}"
bbcwbx.bbcode.wbx.fntcol.lime_green,"{""message"": ""Lime Green""}"
bbcwbx.bbcode.wbx.fntcol.mint_green,"{""message"": ""Mint Green""}"
bbcwbx.bbcode.wbx.fntcol.indigo,"{""message"": ""Indigo""}"
bbcwbx.bbcode.wbx.fntcol.purple,"{""message"": ""Purple""}"
bbcwbx.bbcode.wbx.fntcol.fuchsia,"{""message"": ""Fuchsia""}"
bbcwbx.bbcode.wbx.fntcol.usrEnt,"{""message"": ""Enter Code in Hex""}"
bbcwbx.bbcode.wbx.fntsz,"{""message"": ""文字の大きさ""}"
bbcwbx.bbcode.wbx.urlname,"{""message"": ""リンクの作成(名前付き)""}"
bbcwbx.bbcode.wbx.urlwiz,"{""message"": ""URL ウィザード""}"
bbcwbx.bbcode.vbl,"{""message"": ""VBulletin3""}"
bbcwbx.bbcode.vbl.thd,"{""message"": ""スレッド""}"
bbcwbx.bbcode.vbl.pst,"{""message"": ""ポスト""}"
bbcwbx.bbcode.vbl.alnlf,"{""message"": ""右揃え""}"
bbcwbx.bbcode.vbl.alnrt,"{""message"": ""左揃え""}"
bbcwbx.bbcode.vbl.ctr,"{""message"": ""中央揃え""}"
bbcwbx.bbcode.vbl.indnt,"{""message"": ""インデント""}"
bbcwbx.bbcode.vbl.hilt,"{""message"": ""強調表示""}"
bbcwbx.bbcode.bold,"{""message"": ""太字""}"
bbcwbx.bbcode.ital,"{""message"": ""斜体""}"
bbcwbx.bbcode.undrln,"{""message"": ""下線""}"
bbcwbx.bbcode.img,"{""message"": ""画像""}"
bbcwbx.bbcode.url,"{""message"": ""リンクの作成""}"
bbcwbx.html,"{""message"": ""HTML""}"
bbcwbx.html.clp,"{""message"": ""クリップボード""}"
bbcwbx.html.clp.quote,"{""message"": ""引用""}"
bbcwbx.html.clp.code,"{""message"": ""整形済みテキスト""}"
bbcwbx.html.clp.list,"{""message"": ""リスト""}"
bbcwbx.html.clp.ordlist,"{""message"": ""リスト(番号付き)""}"
bbcwbx.html.clp.alphalist,"{""message"": ""リスト(アルファベット付き)""}"
bbcwbx.html.clp.image,"{""message"": ""画像""}"
