bbcwbx.bbcode,"{""message"": ""bbCode""}"
bbcwbx.bbcode.clp,"{""message"": ""클립보드""}"
bbcwbx.bbcode.clp.quote,"{""message"": ""인용""}"
bbcwbx.bbcode.clp.code,"{""message"": ""코드""}"
bbcwbx.bbcode.clp.list,"{""message"": ""목록""}"
bbcwbx.bbcode.clp.ordlist,"{""message"": ""순차 목록""}"
bbcwbx.bbcode.clp.alphalist,"{""message"": ""알파벳순 목록""}"
bbcwbx.bbcode.clp.spoiler,"{""message"": ""Spoiler""}"
bbcwbx.bbcode.clp.image,"{""message"": ""이미지""}"
bbcwbx.bbcode.clp.mkurlsel,"{""message"": ""선택 URL 제작""}"
bbcwbx.bbcode.clp.url,"{""message"": ""URL""}"
bbcwbx.bbcode.clp.urlname,"{""message"": ""이름과 함께 URL""}"
bbcwbx.bbcode.wbx,"{""message"": ""WebEx""}"
bbcwbx.bbcode.wbx.quote,"{""message"": ""인용""}"
bbcwbx.bbcode.wbx.code,"{""message"": ""코드""}"
bbcwbx.bbcode.wbx.list,"{""message"": ""목록""}"
bbcwbx.bbcode.wbx.ordlist,"{""message"": ""순차 목록""}"
bbcwbx.bbcode.wbx.alphalist,"{""message"": ""알파벳순 목록""}"
bbcwbx.bbcode.wbx.spoiler,"{""message"": ""Spoiler""}"
bbcwbx.bbcode.wbx.fntcol,"{""message"": ""전경 색상""}"
bbcwbx.bbcode.wbx.fntcol.white,"{""message"": ""White""}"
bbcwbx.bbcode.wbx.fntcol.black,"{""message"": ""Black""}"
bbcwbx.bbcode.wbx.fntcol.dk_gray,"{""message"": ""Dark gray""}"
bbcwbx.bbcode.wbx.fntcol.gray,"{""message"": ""Gray""}"
bbcwbx.bbcode.wbx.fntcol.lt_gray,"{""message"": ""Light gray""}"
bbcwbx.bbcode.wbx.fntcol.olive,"{""message"": ""Olive""}"
bbcwbx.bbcode.wbx.fntcol.yellow,"{""message"": ""Yellow""}"
bbcwbx.bbcode.wbx.fntcol.canary,"{""message"": ""Canary""}"
bbcwbx.bbcode.wbx.fntcol.maroon,"{""message"": ""Maroon""}"
bbcwbx.bbcode.wbx.fntcol.red,"{""message"": ""Red""}"
bbcwbx.bbcode.wbx.fntcol.pink,"{""message"": ""Pink""}"
bbcwbx.bbcode.wbx.fntcol.navy,"{""message"": ""Navy""}"
bbcwbx.bbcode.wbx.fntcol.blue,"{""message"": ""Blue""}"
bbcwbx.bbcode.wbx.fntcol.lt_blue,"{""message"": ""Light Blue""}"
bbcwbx.bbcode.wbx.fntcol.green,"{""message"": ""Green""}"
bbcwbx.bbcode.wbx.fntcol.lime_green,"{""message"": ""Lime Green""}"
bbcwbx.bbcode.wbx.fntcol.mint_green,"{""message"": ""Mint Green""}"
bbcwbx.bbcode.wbx.fntcol.indigo,"{""message"": ""Indigo""}"
bbcwbx.bbcode.wbx.fntcol.purple,"{""message"": ""Purple""}"
bbcwbx.bbcode.wbx.fntcol.fuchsia,"{""message"": ""Fuchsia""}"
bbcwbx.bbcode.wbx.fntcol.usrEnt,"{""message"": ""Enter Code in Hex""}"
bbcwbx.bbcode.wbx.fntsz,"{""message"": ""전경 크기""}"
bbcwbx.bbcode.wbx.urlname,"{""message"": ""이름과 함께 URL""}"
bbcwbx.bbcode.wbx.urlwiz,"{""message"": ""URL 마법사""}"
bbcwbx.bbcode.vbl,"{""message"": ""VBulletin3""}"
bbcwbx.bbcode.vbl.thd,"{""message"": ""쓰레드""}"
bbcwbx.bbcode.vbl.pst,"{""message"": ""포스트""}"
bbcwbx.bbcode.vbl.alnlf,"{""message"": ""오른쪽 정렬""}"
bbcwbx.bbcode.vbl.alnrt,"{""message"": ""왼쪽 정렬""}"
bbcwbx.bbcode.vbl.ctr,"{""message"": ""가운데 정렬""}"
bbcwbx.bbcode.vbl.indnt,"{""message"": ""들여쓰기""}"
bbcwbx.bbcode.vbl.hilt,"{""message"": ""강조""}"
bbcwbx.bbcode.bold,"{""message"": ""굵게""}"
bbcwbx.bbcode.ital,"{""message"": ""기울임""}"
bbcwbx.bbcode.undrln,"{""message"": ""밑줄""}"
bbcwbx.bbcode.img,"{""message"": ""이미지""}"
bbcwbx.bbcode.url,"{""message"": ""URL""}"
bbcwbx.html,"{""message"": ""HTML""}"
bbcwbx.html.clp,"{""message"": ""클립보드""}"
bbcwbx.html.clp.quote,"{""message"": ""인용""}"
bbcwbx.html.clp.code,"{""message"": ""코드""}"
bbcwbx.html.clp.list,"{""message"": ""목록""}"
bbcwbx.html.clp.ordlist,"{""message"": ""순차 목록""}"
bbcwbx.html.clp.alphalist,"{""message"": ""알파벳순 목록""}"
bbcwbx.html.clp.image,"{""message"": ""이미지""}"
bbcwbx.html.clp.mkurlsel,"{""message"": ""선택 URL 제작""}"
bbcwbx.html.clp.url,"{""message"": ""URL""}"
bbcwbx.html.clp.urlname,"{""message"": ""이름과 함께 URL""}"
bbcwbx.html.wbx,"{""message"": ""WebEx""}"
bbcwbx.html.wbx.quote,"{""message"": ""인용""}"
bbcwbx.html.wbx.code,"{""message"": ""코드""}"
bbcwbx.html.wbx.list,"{""message"": ""목록""}"
bbcwbx.html.wbx.ordlist,"{""message"": ""순차 목록""}"
bbcwbx.html.wbx.alphalist,"{""message"": ""알파벳순 목록""}"
bbcwbx.html.wbx.urlname,"{""message"": ""이름과 함께 URL""}"
bbcwbx.html.wbx.urlwiz,"{""message"": ""URL 마법사""}"
bbcwbx.html.bold,"{""message"": ""굵게""}"
bbcwbx.html.ital,"{""message"": ""기울임""}"
bbcwbx.html.undrln,"{""message"": ""밑줄""}"
bbcwbx.html.strk,"{""message"": ""취소줄""}"
bbcwbx.html.img,"{""message"": ""이미지""}"
bbcwbx.html.url,"{""message"": ""URL""}"
bbcwbx.xhtml,"{""message"": ""XHTML""}"
bbcwbx.xhtml.clp,"{""message"": ""클립보드""}"
bbcwbx.xhtml.clp.quote,"{""message"": ""인용""}"
bbcwbx.xhtml.clp.code,"{""message"": ""코드""}"
bbcwbx.xhtml.clp.list,"{""message"": ""목록""}"
bbcwbx.xhtml.clp.ordlist,"{""message"": ""순차 목록""}"
bbcwbx.xhtml.clp.alphalist,"{""message"": ""알파벳순 목록""}"
bbcwbx.xhtml.img,"{""message"": ""이미지""}"
bbcwbx.xhtml.clp.mkurlsel,"{""message"": ""선택 URL 제작""}"
bbcwbx.xhtml.clp.url,"{""message"": ""URL""}"
bbcwbx.xhtml.clp.urlname,"{""message"": ""이름과 함께 URL""}"
bbcwbx.xhtml.wbx,"{""message"": ""WebEx""}"
bbcwbx.xhtml.wbx.quote,"{""message"": ""인용""}"
bbcwbx.xhtml.wbx.code,"{""message"": ""코드""}"
bbcwbx.xhtml.wbx.list,"{""message"": ""목록""}"
bbcwbx.xhtml.wbx.ordlist,"{""message"": ""순차 목록""}"
bbcwbx.xhtml.wbx.alphalist,"{""message"": ""알파벳순 목록""}"
bbcwbx.xhtml.wbx.urlname,"{""message"": ""이름과 함께 URL""}"
bbcwbx.xhtml.wbx.urlwiz,"{""message"": ""URL 마법사""}"
bbcwbx.xhtml.bold,"{""message"": ""굵게""}"
bbcwbx.xhtml.ital,"{""message"": ""기울임""}"
bbcwbx.xhtml.undrln,"{""message"": ""밑줄""}"
bbcwbx.xhtml.strk,"{""message"": ""취소줄""}"
bbcwbx.xhtml.image,"{""message"": ""이미지""}"
bbcwbx.xhtml.url,"{""message"": ""URL""}"
bbcwbx.custom,"{""message"": ""사용자지정 태그""}"
bbcwbx.mkdn,"{""message"": ""Markdown""}"
bbcwbx.mkdn.clp,"{""message"": ""클립보드""}"
bbcwbx.mkdn.clp.quote,"{""message"": ""인용""}"
bbcwbx.mkdn.clp.code,"{""message"": ""코드""}"
bbcwbx.mkdn.clp.list,"{""message"": ""목록""}"
bbcwbx.mkdn.clp.ordlist,"{""message"": ""순차 목록""}"
bbcwbx.mkdn.clp.mkurlsel,"{""message"": ""선택 URL 제작""}"
bbcwbx.mkdn.clp.mkimgsel,"{""message"": ""Make image from selection""}"
bbcwbx.mkdn.clp.urlname,"{""message"": ""이름과 함께 URL""}"
bbcwbx.mkdn.wbx,"{""message"": ""WebEx""}"
bbcwbx.mkdn.wbx.quote,"{""message"": ""인용""}"
bbcwbx.mkdn.wbx.code,"{""message"": ""코드""}"
bbcwbx.mkdn.wbx.list,"{""message"": ""목록""}"
bbcwbx.mkdn.wbx.ordlist,"{""message"": ""순차 목록""}"
bbcwbx.mkdn.wbx.urlname,"{""message"": ""이름과 함께 URL""}"
bbcwbx.mkdn.wbx.urlwiz,"{""message"": ""URL 마법사""}"
bbcwbx.mkdn.bold,"{""message"": ""굵게""}"
bbcwbx.mkdn.ital,"{""message"": ""기울임""}"
bbcwbx.mkdn.strk,"{""message"": ""취소줄""}"
INS_AUTHOR,"{""message"": ""저자를 입력하거나 빈칸으로 남겨주세요:""}"
INS_LINKNAME,"{""message"": ""링크명을 입력해 주세요:""}"
INS_FONTSIZE,"{""message"": ""글자 크기를 입력해 주세요:""}"
INS_FONTCOLOR,"{""message"": ""글자 색상을 입력해 주세요:""}"
URLCOMPOSTO_STEP1,"{""message"": ""링크 명?""}"
URLCOMPOSTO_STEP2,"{""message"": ""링크?""}"
INS_THREADNUM,"{""message"": ""쓰레드 번호를 입력해 주세요:""}"
INS_POSTNUM,"{""message"": ""포스트 번호를 입력해 주세요:""}"
MENU_NO_CUSTOM_TAGS ,"{""message"": ""사용자 지정 태그 정의 없음""}"
MENU_DISABLE ,"{""message"": ""이 메뉴 사용안함""}"
MENU_SETTINGS ,"{""message"": ""bbCodeWebex 설정…""}"
DELETE_CUSTOMTAG,"{""message"": ""이 항목을 삭제하길 원하십니까?""}"
WINDOWTITLE_EDITCUSTOMTAG ,"{""message"": ""사용자지정 태그 편집""}"
WINDOWTITLE_NEWCUSTOMTAG ,"{""message"": ""새 사용자지정 태그 추가""}"
ALERT_REORDER_TITLE ,"{""message"": ""Reorder Custom Tags""}"
ALERT_REORDER_TEXT ,"{""message"": ""Custom tags will be arranged in alphabetical order. This action cannot be undone, unless you restore an existing backup. Do you want to continue?""}"
WINDOWTITLE_EXPORT ,"{""message"": ""Choose export file""}"
WINDOWTITLE_IMPORT ,"{""message"": ""Choose import file""}"
ALERT_IMPORT_TITLE ,"{""message"": ""Import Settings""}"
ALERT_IMPORT_TEXT ,"{""message"": ""This will overwrite all existing settings. Are you sure?""}"
ALERT_IMPORT_COMPLETED ,"{""message"": ""Operation completed.""}"
description,"{""message"": ""문맥메뉴에 BBCode/HTML/XHTML 명령을 추가합니다.""}"
name,"{""message"": ""bbCodeWebex""}"
SETTINGSMENU,"{""message"": ""bbCodeWebex 설정...""}"
DISABLEMENU,"{""message"": ""이 메뉴 사용 안함""}"
PICKCOLOR_TITLE,"{""message"": ""색상 수집""}"
PICKCOLOR_DESCRIPTION,"{""message"": ""목록에서 전경색상 선택""}"
PICKCOLOR_LASTCOLOR,"{""message"": ""마지막으로 사용된 색상:""}"
SETTINGS_TITLE,"{""message"": ""bbCodeWebex 설정""}"
SETTINGS_MENU,"{""message"": ""메뉴""}"
SETTINGS_CUSTOMTAGS,"{""message"": ""사용자지정 태그""}"
SETTINGS_MENU_DESCRIPTION,"{""message"": ""문맥메뉴 내 표시할 항목 선택""}"
SETTINGS_MENU_ENABLEBBCODE,"{""message"": ""bbcode 메뉴 사용""}"
SETTINGS_MENU_ENABLEBBCODE_VBULLETIN,"{""message"": ""VBulletin 하위메뉴 사용""}"
SETTINGS_MENU_ENABLEHTML,"{""message"": ""HTML 메뉴 사용""}"
SETTINGS_MENU_ENABLEXHTML,"{""message"": ""XHTML 메뉴 사용""}"
SETTINGS_MENU_ENABLEMARKDOWN,"{""message"": ""Markdown 메뉴 사용""}"
SETTINGS_MENU_ENABLECUSTOM,"{""message"": ""사용자지정 태그 사용""}"
SETTINGS_MANAGESETTINGS,"{""message"": ""Manage settings""}"
SETTINGS_BACKUPDESCRIPTION,"{""message"": ""WARNING: importing settings will overwrite all existing settings.""}"
SETTINGS_BTNIMPORT,"{""message"": ""Import settings…""}"
SETTINGS_BTNEXPORT,"{""message"": ""Export settings…""}"
SETTINGS_CUSTOMTAGS_TOTALTAGS,"{""message"": ""사용가능한 사용자지정 태그:""}"
SETTINGS_CUSTOMTAGS_BTNADD,"{""message"": ""추가…""}"
SETTINGS_CUSTOMTAGS_BTNEDIT,"{""message"": ""편집…""}"
SETTINGS_CUSTOMTAGS_BTNDELETE,"{""message"": ""삭제…""}"
SETTINGS_CUSTOMTAGS_MOVEUP,"{""message"": ""위로 이동""}"
SETTINGS_CUSTOMTAGS_MOVEDOWN,"{""message"": ""아래로 이동""}"
SETTINGS_CUSTOMTAGS_SORTALPHA,"{""message"": ""Sort alphabetically""}"
SETTINGS_CUSTOMTAGS_MOREINFO,"{""message"": ""추가 정보 및 예제""}"
SETTINGS_CUSTOMTAGS_VARIABLES,"{""message"": ""사용가능한 변수""}"
SETTINGS_CUSTOMTAGS_VARCLIPBOARD,"{""message"": ""클립보드 내용""}"
SETTINGS_CUSTOMTAGS_VARSELECTION,"{""message"": ""선택된 글""}"
SETTINGS_CUSTOMTAGS_LABEL,"{""message"": ""항목 명:""}"
SETTINGS_CUSTOMTAGS_ACTION,"{""message"": ""코드:""}"
SAVE_TAG_ORDER,"{""message"": ""Save Tag Order""}"
ENTER_COLOR_HEX,"{""message"": ""ENTER FONT COLOR IN HEX""}"
