bbcwbx.bbcode,"{""message"": ""bbCode""}"
bbcwbx.bbcode.clp,"{""message"": ""Zawartość schowka wstaw jako:""}"
bbcwbx.bbcode.clp.quote,"{""message"": ""Cytat""}"
bbcwbx.bbcode.clp.code,"{""message"": ""Kod""}"
bbcwbx.bbcode.clp.list,"{""message"": ""Lista""}"
bbcwbx.bbcode.clp.ordlist,"{""message"": ""Lista numerowana""}"
bbcwbx.bbcode.clp.alphalist,"{""message"": ""Lista alfabetyczna""}"
bbcwbx.bbcode.clp.spoiler,"{""message"": ""Spoiler""}"
bbcwbx.bbcode.clp.image,"{""message"": ""Obrazek""}"
bbcwbx.bbcode.clp.mkurlsel,"{""message"": ""Odnośnik z nazwą zaznaczenia""}"
bbcwbx.bbcode.clp.url,"{""message"": ""Odnośnik""}"
bbcwbx.bbcode.clp.urlname,"{""message"": ""Odnośnik z nazwą""}"
bbcwbx.bbcode.wbx,"{""message"": ""WebEx""}"
bbcwbx.bbcode.wbx.quote,"{""message"": ""Cytat""}"
bbcwbx.bbcode.wbx.code,"{""message"": ""Kod""}"
bbcwbx.bbcode.wbx.list,"{""message"": ""Lista""}"
bbcwbx.bbcode.wbx.ordlist,"{""message"": ""Lista numerowana""}"
bbcwbx.bbcode.wbx.alphalist,"{""message"": ""Lista alfabetyczna""}"
bbcwbx.bbcode.wbx.spoiler,"{""message"": ""Spoiler""}"
bbcwbx.bbcode.wbx.fntcol,"{""message"": ""Kolor czcionki""}"
bbcwbx.bbcode.wbx.fntcol.white,"{""message"": ""White""}"
bbcwbx.bbcode.wbx.fntcol.black,"{""message"": ""Black""}"
bbcwbx.bbcode.wbx.fntcol.dk_gray,"{""message"": ""Dark gray""}"
bbcwbx.bbcode.wbx.fntcol.gray,"{""message"": ""Gray""}"
bbcwbx.bbcode.wbx.fntcol.lt_gray,"{""message"": ""Light gray""}"
bbcwbx.bbcode.wbx.fntcol.olive,"{""message"": ""Olive""}"
bbcwbx.bbcode.wbx.fntcol.yellow,"{""message"": ""Yellow""}"
bbcwbx.bbcode.wbx.fntcol.canary,"{""message"": ""Canary""}"
bbcwbx.bbcode.wbx.fntcol.maroon,"{""message"": ""Maroon""}"
bbcwbx.bbcode.wbx.fntcol.red,"{""message"": ""Red""}"
bbcwbx.bbcode.wbx.fntcol.pink,"{""message"": ""Pink""}"
bbcwbx.bbcode.wbx.fntcol.navy,"{""message"": ""Navy""}"
bbcwbx.bbcode.wbx.fntcol.blue,"{""message"": ""Blue""}"
bbcwbx.bbcode.wbx.fntcol.lt_blue,"{""message"": ""Light Blue""}"
bbcwbx.bbcode.wbx.fntcol.green,"{""message"": ""Green""}"
