bbcwbx.bbcode,"{""message"": ""bbCode""}"
bbcwbx.bbcode.clp,"{""message"": ""Área de Transferência""}"
bbcwbx.bbcode.clp.quote,"{""message"": ""Citação""}"
bbcwbx.bbcode.clp.code,"{""message"": ""Código""}"
bbcwbx.bbcode.clp.list,"{""message"": ""Lista""}"
bbcwbx.bbcode.clp.ordlist,"{""message"": ""Lista ordenada""}"
bbcwbx.bbcode.clp.alphalist,"{""message"": ""Lista alfabética""}"
bbcwbx.bbcode.clp.spoiler,"{""message"": ""Spoiler""}"
bbcwbx.bbcode.clp.image,"{""message"": ""Imagem""}"
bbcwbx.bbcode.clp.mkurlsel,"{""message"": ""Fazer URL da selecção""}"
bbcwbx.bbcode.clp.url,"{""message"": ""URL""}"
bbcwbx.bbcode.clp.urlname,"{""message"": ""URL com nome""}"
bbcwbx.bbcode.wbx,"{""message"": ""WebEx""}"
bbcwbx.bbcode.wbx.quote,"{""message"": ""Citação""}"
bbcwbx.bbcode.wbx.code,"{""message"": ""Código""}"
bbcwbx.bbcode.wbx.list,"{""message"": ""Lista""}"
bbcwbx.bbcode.wbx.ordlist,"{""message"": ""Lista ordenada""}"
bbcwbx.bbcode.wbx.alphalist,"{""message"": ""Lista alfabética""}"
bbcwbx.bbcode.wbx.spoiler,"{""message"": ""Spoiler""}"
bbcwbx.bbcode.wbx.fntcol,"{""message"": ""Cor""}"
bbcwbx.bbcode.wbx.fntcol.white,"{""message"": ""White""}"
bbcwbx.bbcode.wbx.fntcol.black,"{""message"": ""Black""}"
bbcwbx.bbcode.wbx.fntcol.dk_gray,"{""message"": ""Dark gray""}"
bbcwbx.bbcode.wbx.fntcol.gray,"{""message"": ""Gray""}"
bbcwbx.bbcode.wbx.fntcol.lt_gray,"{""message"": ""Light gray""}"
bbcwbx.bbcode.wbx.fntcol.olive,"{""message"": ""Olive""}"
bbcwbx.bbcode.wbx.fntcol.yellow,"{""message"": ""Yellow""}"
bbcwbx.bbcode.wbx.fntcol.canary,"{""message"": ""Canary""}"
bbcwbx.bbcode.wbx.fntcol.maroon,"{""message"": ""Maroon""}"
bbcwbx.bbcode.wbx.fntcol.red,"{""message"": ""Red""}"
bbcwbx.bbcode.wbx.fntcol.pink,"{""message"": ""Pink""}"
bbcwbx.bbcode.wbx.fntcol.navy,"{""message"": ""Navy""}"
bbcwbx.bbcode.wbx.fntcol.blue,"{""message"": ""Blue""}"
bbcwbx.bbcode.wbx.fntcol.lt_blue,"{""message"": ""Light Blue""}"
bbcwbx.bbcode.wbx.fntcol.green,"{""message"": ""Green""}"
bbcwbx.bbcode.wbx.fntcol.lime_green,"{""message"": ""Lime Green""}"
bbcwbx.bbcode.wbx.fntcol.mint_green,"{""message"": ""Mint Green""}"
bbcwbx.bbcode.wbx.fntcol.indigo,"{""message"": ""Indigo""}"
bbcwbx.bbcode.wbx.fntcol.purple,"{""message"": ""Purple""}"
bbcwbx.bbcode.wbx.fntcol.fuchsia,"{""message"": ""Fuchsia""}"
bbcwbx.bbcode.wbx.fntcol.usrEnt,"{""message"": ""Enter Code in Hex""}"
bbcwbx.bbcode.wbx.fntsz,"{""message"": ""Tamanho""}"
bbcwbx.bbcode.wbx.urlname,"{""message"": ""URL com nome""}"
bbcwbx.bbcode.wbx.urlwiz,"{""message"": ""Assistente URL""}"
bbcwbx.bbcode.vbl,"{""message"": ""VBulletin3""}"
bbcwbx.bbcode.vbl.thd,"{""message"": ""Tópico""}"
bbcwbx.bbcode.vbl.pst,"{""message"": ""Mensagem""}"
bbcwbx.bbcode.vbl.alnlf,"{""message"": ""Alinhar à direita""}"
bbcwbx.bbcode.vbl.alnrt,"{""message"": ""Alinhar à esquerda""}"
bbcwbx.bbcode.vbl.ctr,"{""message"": ""Centrar""}"
bbcwbx.bbcode.vbl.indnt,"{""message"": ""Recortar""}"
bbcwbx.bbcode.vbl.hilt,"{""message"": ""Destacar""}"
bbcwbx.bbcode.bold,"{""message"": ""Negrito""}"
bbcwbx.bbcode.ital,"{""message"": ""Itálico""}"
bbcwbx.bbcode.undrln,"{""message"": ""Sublinhado""}"
bbcwbx.bbcode.img,"{""message"": ""Imagem""}"
bbcwbx.bbcode.url,"{""message"": ""URL""}"
bbcwbx.html,"{""message"": ""HTML""}"
bbcwbx.html.clp,"{""message"": ""Área de Transferência""}"
bbcwbx.html.clp.quote,"{""message"": ""Citação""}"
bbcwbx.html.clp.code,"{""message"": ""Código""}"
bbcwbx.html.clp.list,"{""message"": ""Lista""}"
bbcwbx.html.clp.ordlist,"{""message"": ""Lista ordenada""}"
bbcwbx.html.clp.alphalist,"{""message"": ""Lista alfabética""}"
bbcwbx.html.clp.image,"{""message"": ""Imagem""}"
bbcwbx.html.clp.mkurlsel,"{""message"": ""Fazer URL da selecção""}"
bbcwbx.html.clp.url,"{""message"": ""URL""}"
bbcwbx.html.clp.urlname,"{""message"": ""URL com nome""}"
bbcwbx.html.wbx,"{""message"": ""WebEx""}"
bbcwbx.html.wbx.quote,"{""message"": ""Citação""}"
bbcwbx.html.wbx.code,"{""message"": ""Código""}"
bbcwbx.html.wbx.list,"{""message"": ""Lista""}"
bbcwbx.html.wbx.ordlist,"{""message"": ""Lista ordenada""}"
bbcwbx.html.wbx.alphalist,"{""message"": ""Lista alfabética""}"
bbcwbx.html.wbx.urlname,"{""message"": ""URL com nome""}"
