bbcwbx.bbcode,"{""message"": ""bbCode""}"
bbcwbx.bbcode.clp,"{""message"": ""Schránka""}"
bbcwbx.bbcode.clp.quote,"{""message"": ""Citovať""}"
bbcwbx.bbcode.clp.code,"{""message"": ""Kód""}"
bbcwbx.bbcode.clp.list,"{""message"": ""Zoznam""}"
bbcwbx.bbcode.clp.ordlist,"{""message"": ""Usporiadaný zoznam""}"
bbcwbx.bbcode.clp.alphalist,"{""message"": ""Abecedný zoznam""}"
bbcwbx.bbcode.clp.spoiler,"{""message"": ""Spoiler""}"
bbcwbx.bbcode.clp.image,"{""message"": ""Obrázok""}"
bbcwbx.bbcode.clp.mkurlsel,"{""message"": ""Vytvoriť výberové URL""}"
bbcwbx.bbcode.clp.url,"{""message"": ""URL""}"
bbcwbx.bbcode.clp.urlname,"{""message"": ""URL s názvom""}"
bbcwbx.bbcode.wbx,"{""message"": ""WebEx""}"
bbcwbx.bbcode.wbx.quote,"{""message"": ""Citovať""}"
bbcwbx.bbcode.wbx.code,"{""message"": ""Kód""}"
bbcwbx.bbcode.wbx.list,"{""message"": ""Zoznam""}"
bbcwbx.bbcode.wbx.ordlist,"{""message"": ""Usporiadaný zoznam""}"
bbcwbx.bbcode.wbx.alphalist,"{""message"": ""Abecedný zoznam""}"
bbcwbx.bbcode.wbx.spoiler,"{""message"": ""Spoiler""}"
bbcwbx.bbcode.wbx.fntcol,"{""message"": ""Farba písma""}"
bbcwbx.bbcode.wbx.fntcol.white,"{""message"": ""White""}"
bbcwbx.bbcode.wbx.fntcol.black,"{""message"": ""Black""}"
bbcwbx.bbcode.wbx.fntcol.dk_gray,"{""message"": ""Dark gray""}"
bbcwbx.bbcode.wbx.fntcol.gray,"{""message"": ""Gray""}"
bbcwbx.bbcode.wbx.fntcol.lt_gray,"{""message"": ""Light gray""}"
bbcwbx.bbcode.wbx.fntcol.olive,"{""message"": ""Olive""}"
bbcwbx.bbcode.wbx.fntcol.yellow,"{""message"": ""Yellow""}"
bbcwbx.bbcode.wbx.fntcol.canary,"{""message"": ""Canary""}"
bbcwbx.bbcode.wbx.fntcol.maroon,"{""message"": ""Maroon""}"
bbcwbx.bbcode.wbx.fntcol.red,"{""message"": ""Red""}"
bbcwbx.bbcode.wbx.fntcol.pink,"{""message"": ""Pink""}"
bbcwbx.bbcode.wbx.fntcol.navy,"{""message"": ""Navy""}"
bbcwbx.bbcode.wbx.fntcol.blue,"{""message"": ""Blue""}"
bbcwbx.bbcode.wbx.fntcol.lt_blue,"{""message"": ""Light Blue""}"
bbcwbx.bbcode.wbx.fntcol.green,"{""message"": ""Green""}"
bbcwbx.bbcode.wbx.fntcol.lime_green,"{""message"": ""Lime Green""}"
bbcwbx.bbcode.wbx.fntcol.mint_green,"{""message"": ""Mint Green""}"
bbcwbx.bbcode.wbx.fntcol.indigo,"{""message"": ""Indigo""}"
bbcwbx.bbcode.wbx.fntcol.purple,"{""message"": ""Purple""}"
bbcwbx.bbcode.wbx.fntcol.fuchsia,"{""message"": ""Fuchsia""}"
bbcwbx.bbcode.wbx.fntcol.usrEnt,"{""message"": ""Enter Code in Hex""}"
bbcwbx.bbcode.wbx.fntsz,"{""message"": ""Veľkosť písma""}"
bbcwbx.bbcode.wbx.urlname,"{""message"": ""URL s názvom""}"
bbcwbx.bbcode.wbx.urlwiz,"{""message"": ""Sprievodca URL""}"
bbcwbx.bbcode.vbl,"{""message"": ""VBulletin3""}"
bbcwbx.bbcode.vbl.thd,"{""message"": ""Vlákno""}"
bbcwbx.bbcode.vbl.pst,"{""message"": ""Príspevok""}"
bbcwbx.bbcode.vbl.alnlf,"{""message"": ""Zarovnať doprava""}"
bbcwbx.bbcode.vbl.alnrt,"{""message"": ""Zarovnať doľava""}"
bbcwbx.bbcode.vbl.ctr,"{""message"": ""Centrovať""}"
bbcwbx.bbcode.vbl.indnt,"{""message"": ""Odrážka""}"
bbcwbx.bbcode.vbl.hilt,"{""message"": ""Zvýraznenie""}"
bbcwbx.bbcode.bold,"{""message"": ""Tučné""}"
bbcwbx.bbcode.ital,"{""message"": ""Kurzíva""}"
bbcwbx.bbcode.undrln,"{""message"": ""Podčiarknuté""}"
bbcwbx.bbcode.img,"{""message"": ""Obrázok""}"
bbcwbx.bbcode.url,"{""message"": ""URL""}"
bbcwbx.html,"{""message"": ""HTML""}"
bbcwbx.html.clp,"{""message"": ""Schránka""}"
bbcwbx.html.clp.quote,"{""message"": ""Citovať""}"
bbcwbx.html.clp.code,"{""message"": ""Kód""}"
bbcwbx.html.clp.list,"{""message"": ""Zoznam""}"
bbcwbx.html.clp.ordlist,"{""message"": ""Usporiadaný zoznam""}"
bbcwbx.html.clp.alphalist,"{""message"": ""Abecedný zoznam""}"
bbcwbx.html.clp.image,"{""message"": ""Obrázok""}"
bbcwbx.html.clp.mkurlsel,"{""message"": ""Vytvoriť výberové URL""}"
bbcwbx.html.clp.url,"{""message"": ""URL""}"
bbcwbx.html.clp.urlname,"{""message"": ""URL s názvom""}"
bbcwbx.html.wbx,"{""message"": ""WebEx""}"
bbcwbx.html.wbx.quote,"{""message"": ""Citovať""}"
bbcwbx.html.wbx.code,"{""message"": ""Kód""}"
bbcwbx.html.wbx.list,"{""message"": ""Zoznam""}"
bbcwbx.html.wbx.ordlist,"{""message"": ""Usporiadaný zoznam""}"
bbcwbx.html.wbx.alphalist,"{""message"": ""Abecedný zoznam""}"
bbcwbx.html.wbx.urlname,"{""message"": ""URL s názvom""}"
bbcwbx.html.wbx.urlwiz,"{""message"": ""Sprievodca URL""}"
bbcwbx.html.bold,"{""message"": ""Tučné""}"
bbcwbx.html.ital,"{""message"": ""Kurzíva""}"
bbcwbx.html.undrln,"{""message"": ""Podčiarknuté""}"
bbcwbx.html.strk,"{""message"": ""Prečiarknuté""}"
bbcwbx.html.img,"{""message"": ""Obrázok""}"
bbcwbx.html.url,"{""message"": ""URL""}"
bbcwbx.xhtml,"{""message"": ""XHTML""}"
bbcwbx.xhtml.clp,"{""message"": ""Schránka""}"
bbcwbx.xhtml.clp.quote,"{""message"": ""Citovať""}"
bbcwbx.xhtml.clp.code,"{""message"": ""Kód""}"
bbcwbx.xhtml.clp.list,"{""message"": ""Zoznam""}"
bbcwbx.xhtml.clp.ordlist,"{""message"": ""Usporiadaný zoznam""}"
bbcwbx.xhtml.clp.alphalist,"{""message"": ""Abecedný zoznam""}"
bbcwbx.xhtml.img,"{""message"": ""Obrázok""}"
bbcwbx.xhtml.clp.mkurlsel,"{""message"": ""Vytvoriť výberové URL""}"
bbcwbx.xhtml.clp.url,"{""message"": ""URL""}"
bbcwbx.xhtml.clp.urlname,"{""message"": ""URL s názvom""}"
bbcwbx.xhtml.wbx,"{""message"": ""WebEx""}"
bbcwbx.xhtml.wbx.quote,"{""message"": ""Citovať""}"
bbcwbx.xhtml.wbx.code,"{""message"": ""Kód""}"
bbcwbx.xhtml.wbx.list,"{""message"": ""Zoznam""}"
bbcwbx.xhtml.wbx.ordlist,"{""message"": ""Usporiadaný zoznam""}"
bbcwbx.xhtml.wbx.alphalist,"{""message"": ""Abecedný zoznam""}"
bbcwbx.xhtml.wbx.urlname,"{""message"": ""URL s názvom""}"
bbcwbx.xhtml.wbx.urlwiz,"{""message"": ""Sprievodca URL""}"
bbcwbx.xhtml.bold,"{""message"": ""Tučné""}"
bbcwbx.xhtml.ital,"{""message"": ""Kurzíva""}"
bbcwbx.xhtml.undrln,"{""message"": ""Podčiarknuté""}"
bbcwbx.xhtml.strk,"{""message"": ""Prečiarknuté""}"
bbcwbx.xhtml.image,"{""message"": ""Obrázok""}"
bbcwbx.xhtml.url,"{""message"": ""URL""}"
bbcwbx.custom,"{""message"": ""Vlastné značky""}"
bbcwbx.mkdn,"{""message"": ""Markdown""}"
bbcwbx.mkdn.clp,"{""message"": ""Schránka""}"
bbcwbx.mkdn.clp.quote,"{""message"": ""Citovať""}"
bbcwbx.mkdn.clp.code,"{""message"": ""Kód""}"
bbcwbx.mkdn.clp.list,"{""message"": ""Zoznam""}"
bbcwbx.mkdn.clp.ordlist,"{""message"": ""Usporiadaný zoznam""}"
bbcwbx.mkdn.clp.mkurlsel,"{""message"": ""Vytvoriť výberové URL""}"
bbcwbx.mkdn.clp.mkimgsel,"{""message"": ""Make image from selection""}"
bbcwbx.mkdn.clp.urlname,"{""message"": ""URL s názvom""}"
bbcwbx.mkdn.wbx,"{""message"": ""WebEx""}"
bbcwbx.mkdn.wbx.quote,"{""message"": ""Citovať""}"
bbcwbx.mkdn.wbx.code,"{""message"": ""Kód""}"
bbcwbx.mkdn.wbx.list,"{""message"": ""Zoznam""}"
bbcwbx.mkdn.wbx.ordlist,"{""message"": ""Usporiadaný zoznam""}"
bbcwbx.mkdn.wbx.urlname,"{""message"": ""URL s názvom""}"
bbcwbx.mkdn.wbx.urlwiz,"{""message"": ""Sprievodca URL""}"
bbcwbx.mkdn.bold,"{""message"": ""Tučné""}"
bbcwbx.mkdn.ital,"{""message"": ""Kurzíva""}"
bbcwbx.mkdn.strk,"{""message"": ""Prečiarknuté""}"
INS_AUTHOR,"{""message"": ""Prosím, zadajte meno autora alebo nechajte prázdne:""}"
INS_LINKNAME,"{""message"": ""Prosím, zadajte názov odkazu:""}"
INS_FONTSIZE,"{""message"": ""Prosím, zadajte veľkosť textu:""}"
INS_FONTCOLOR,"{""message"": ""Prosím, zadajte farbu textu:""}"
URLCOMPOSTO_STEP1,"{""message"": ""Názov odkazu?""}"
URLCOMPOSTO_STEP2,"{""message"": ""Odkaz?""}"
INS_THREADNUM,"{""message"": ""Prosím, zadajte číslo vlákna:""}"
INS_POSTNUM,"{""message"": ""Prosím, zadajte číslo príspevku:""}"
MENU_NO_CUSTOM_TAGS ,"{""message"": ""Značky nie sú nadefinované""}"
MENU_DISABLE ,"{""message"": ""Vypnúť túto ponuku""}"
MENU_SETTINGS ,"{""message"": ""Nastavenia bbCodeWebex...""}"
DELETE_CUSTOMTAG,"{""message"": ""Prajete si odstrániť túto položku?""}"
WINDOWTITLE_EDITCUSTOMTAG ,"{""message"": ""Upraviť vlastnú značku""}"
WINDOWTITLE_NEWCUSTOMTAG ,"{""message"": ""Pridať novú vlastnú značku""}"
ALERT_REORDER_TITLE ,"{""message"": ""Reorder Custom Tags""}"
ALERT_REORDER_TEXT ,"{""message"": ""Custom tags will be arranged in alphabetical order. This action cannot be undone, unless you restore an existing backup. Do you want to continue?""}"
WINDOWTITLE_EXPORT ,"{""message"": ""Choose export file""}"
WINDOWTITLE_IMPORT ,"{""message"": ""Choose import file""}"
ALERT_IMPORT_TITLE ,"{""message"": ""Import Settings""}"
ALERT_IMPORT_TEXT ,"{""message"": ""This will overwrite all existing settings. Are you sure?""}"
ALERT_IMPORT_COMPLETED ,"{""message"": ""Operation completed.""}"
description,"{""message"": ""Pridáva BBCode/HTML/XHTML príkazy do kontextovej ponuky""}"
name,"{""message"": ""bbCodeWebex""}"
SETTINGSMENU,"{""message"": ""Nastavenia bbCodeWebex...""}"
DISABLEMENU,"{""message"": ""Vypnúť túto ponuku""}"
PICKCOLOR_TITLE,"{""message"": ""Vybrať farbu""}"
PICKCOLOR_DESCRIPTION,"{""message"": ""Vybrať farbu písma zo zoznamu""}"
PICKCOLOR_LASTCOLOR,"{""message"": ""Naposledy použitá farba :""}"
SETTINGS_TITLE,"{""message"": ""Nastavenia bbCodeWebex""}"
SETTINGS_MENU,"{""message"": ""Ponuky""}"
SETTINGS_CUSTOMTAGS,"{""message"": ""Vlastné značky""}"
SETTINGS_MENU_DESCRIPTION,"{""message"": ""Vybrať položky na zobrazenie v kontextovej ponuke""}"
SETTINGS_MENU_ENABLEBBCODE,"{""message"": ""Zapnúť ponuku bbcode""}"
SETTINGS_MENU_ENABLEBBCODE_VBULLETIN,"{""message"": ""zapnúť podponuku VBulletin""}"
SETTINGS_MENU_ENABLEHTML,"{""message"": ""Zapnúť ponuku HTML""}"
SETTINGS_MENU_ENABLEXHTML,"{""message"": ""Zapnúť ponuku XHTML""}"
SETTINGS_MENU_ENABLEMARKDOWN,"{""message"": ""Zapnúť ponuku Markdown""}"
SETTINGS_MENU_ENABLECUSTOM,"{""message"": ""Zapnúť ponuku Vlastné značky""}"
SETTINGS_MANAGESETTINGS,"{""message"": ""Manage settings""}"
SETTINGS_BACKUPDESCRIPTION,"{""message"": ""WARNING: importing settings will overwrite all existing settings.""}"
SETTINGS_BTNIMPORT,"{""message"": ""Import settings…""}"
SETTINGS_BTNEXPORT,"{""message"": ""Export settings…""}"
SETTINGS_CUSTOMTAGS_TOTALTAGS,"{""message"": ""Dostupné vlastné značky:""}"
SETTINGS_CUSTOMTAGS_BTNADD,"{""message"": ""Pridať...""}"
SETTINGS_CUSTOMTAGS_BTNEDIT,"{""message"": ""Upraviť...""}"
SETTINGS_CUSTOMTAGS_BTNDELETE,"{""message"": ""Zmazať...""}"
SETTINGS_CUSTOMTAGS_MOVEUP,"{""message"": ""Posunúť hore""}"
SETTINGS_CUSTOMTAGS_MOVEDOWN,"{""message"": ""Posunúť dole""}"
SETTINGS_CUSTOMTAGS_SORTALPHA,"{""message"": ""Sort alphabetically""}"
SETTINGS_CUSTOMTAGS_MOREINFO,"{""message"": ""Viac info a príkladov""}"
SETTINGS_CUSTOMTAGS_VARIABLES,"{""message"": ""Dostupné premenné""}"
SETTINGS_CUSTOMTAGS_VARCLIPBOARD,"{""message"": ""obsah schránky""}"
SETTINGS_CUSTOMTAGS_VARSELECTION,"{""message"": ""vybratý text""}"
SETTINGS_CUSTOMTAGS_LABEL,"{""message"": ""Názov položky:""}"
SETTINGS_CUSTOMTAGS_ACTION,"{""message"": ""Kód:""}"
SAVE_TAG_ORDER,"{""message"": ""Save Tag Order""}"
ENTER_COLOR_HEX,"{""message"": ""ENTER FONT COLOR IN HEX""}"
