bbcwbx.bbcode,"{""message"": ""bbCode""}"
bbcwbx.bbcode.clp,"{""message"": ""คลิปบอร์ด""}"
bbcwbx.bbcode.clp.quote,"{""message"": ""อ้างอิง""}"
bbcwbx.bbcode.clp.code,"{""message"": ""รหัส""}"
bbcwbx.bbcode.clp.list,"{""message"": ""รายชื่อ""}"
bbcwbx.bbcode.clp.ordlist,"{""message"": ""รายชื่อตามลำัดับ""}"
bbcwbx.bbcode.clp.alphalist,"{""message"": ""รายชื่อตามตัวอักษร""}"
bbcwbx.bbcode.clp.spoiler,"{""message"": ""Spoiler""}"
bbcwbx.bbcode.clp.image,"{""message"": ""รูปภาพ""}"
bbcwbx.bbcode.clp.mkurlsel,"{""message"": ""ทำยูอาร์แอลกดได้""}"
bbcwbx.bbcode.clp.url,"{""message"": ""ยูอาร์แอล""}"
bbcwbx.bbcode.clp.urlname,"{""message"": ""ยูอาร์แอลกับชื่อ""}"
bbcwbx.bbcode.wbx,"{""message"": ""WebEx""}"
bbcwbx.bbcode.wbx.quote,"{""message"": ""อ้างอิง""}"
bbcwbx.bbcode.wbx.code,"{""message"": ""รหัส""}"
bbcwbx.bbcode.wbx.list,"{""message"": ""รายชื่อ""}"
bbcwbx.bbcode.wbx.ordlist,"{""message"": ""รายชื่อตามลำัดับ""}"
bbcwbx.bbcode.wbx.alphalist,"{""message"": ""รายชื่อตามตัวอักษร""}"
bbcwbx.bbcode.wbx.spoiler,"{""message"": ""Spoiler""}"
bbcwbx.bbcode.wbx.fntcol,"{""message"": ""สีแบบอักษร""}"
bbcwbx.bbcode.wbx.fntcol.white,"{""message"": ""White""}"
bbcwbx.bbcode.wbx.fntcol.black,"{""message"": ""Black""}"
bbcwbx.bbcode.wbx.fntcol.dk_gray,"{""message"": ""Dark gray""}"
bbcwbx.bbcode.wbx.fntcol.gray,"{""message"": ""Gray""}"
bbcwbx.bbcode.wbx.fntcol.lt_gray,"{""message"": ""Light gray""}"
bbcwbx.bbcode.wbx.fntcol.olive,"{""message"": ""Olive""}"
bbcwbx.bbcode.wbx.fntcol.yellow,"{""message"": ""Yellow""}"
bbcwbx.bbcode.wbx.fntcol.canary,"{""message"": ""Canary""}"
bbcwbx.bbcode.wbx.fntcol.maroon,"{""message"": ""Maroon""}"
bbcwbx.bbcode.wbx.fntcol.red,"{""message"": ""Red""}"
bbcwbx.bbcode.wbx.fntcol.pink,"{""message"": ""Pink""}"
bbcwbx.bbcode.wbx.fntcol.navy,"{""message"": ""Navy""}"
bbcwbx.bbcode.wbx.fntcol.blue,"{""message"": ""Blue""}"
bbcwbx.bbcode.wbx.fntcol.lt_blue,"{""message"": ""Light Blue""}"
bbcwbx.bbcode.wbx.fntcol.green,"{""message"": ""Green""}"
bbcwbx.bbcode.wbx.fntcol.lime_green,"{""message"": ""Lime Green""}"
bbcwbx.bbcode.wbx.fntcol.mint_green,"{""message"": ""Mint Green""}"
bbcwbx.bbcode.wbx.fntcol.indigo,"{""message"": ""Indigo""}"
bbcwbx.bbcode.wbx.fntcol.purple,"{""message"": ""Purple""}"
bbcwbx.bbcode.wbx.fntcol.fuchsia,"{""message"": ""Fuchsia""}"
bbcwbx.bbcode.wbx.fntcol.usrEnt,"{""message"": ""Enter Code in Hex""}"
bbcwbx.bbcode.wbx.fntsz,"{""message"": ""ขนาดแบบอักษร""}"
bbcwbx.bbcode.wbx.urlname,"{""message"": ""ยูอาร์แอลกับชื่อ""}"
bbcwbx.bbcode.wbx.urlwiz,"{""message"": ""ตัวช่วยสร้างยูอาร์แอล""}"
bbcwbx.bbcode.vbl,"{""message"": ""VBulletin3""}"
bbcwbx.bbcode.vbl.thd,"{""message"": ""หัวข้อ""}"
bbcwbx.bbcode.vbl.pst,"{""message"": ""โพสต์""}"
bbcwbx.bbcode.vbl.alnlf,"{""message"": ""ชิดขวา""}"
bbcwbx.bbcode.vbl.alnrt,"{""message"": ""ชิดซ้าย""}"
bbcwbx.bbcode.vbl.ctr,"{""message"": ""ตรงกลาง""}"
bbcwbx.bbcode.vbl.indnt,"{""message"": ""ย่อหน้า""}"
bbcwbx.bbcode.vbl.hilt,"{""message"": ""เน้น""}"
bbcwbx.bbcode.bold,"{""message"": ""ตัวหนา""}"
bbcwbx.bbcode.ital,"{""message"": ""ตัวเอน""}"
bbcwbx.bbcode.undrln,"{""message"": ""ขีดเส้นใต้""}"
bbcwbx.bbcode.img,"{""message"": ""รูปภาพ""}"
bbcwbx.bbcode.url,"{""message"": ""ยูอาร์แอล""}"
bbcwbx.html,"{""message"": ""HTML""}"
bbcwbx.html.clp,"{""message"": ""คลิปบอร์ด""}"
bbcwbx.html.clp.quote,"{""message"": ""อ้างอิง""}"
bbcwbx.html.clp.code,"{""message"": ""รหัส""}"
bbcwbx.html.clp.list,"{""message"": ""รายชื่อ""}"
bbcwbx.html.clp.ordlist,"{""message"": ""รายชื่อตามลำัดับ""}"
